Date,years_since_halving,realized_vol_30,dxy_ret_30,dxy_ret_100,short_percent_r,long_percent_r,wr_composite,log_price_residual,log_price_residual_ma14
2015-01-06,2.105407255304586,0.09825512354555632,0.242919301966355,0.684259767878965,0.2025758653418672,0.1357177185777459,0.6891995503634977,-1.407684046773583,-1.3518667013682266
2015-01-07,2.108145106091718,0.11562072429045941,0.32008068787251,0.7360676856307811,0.268630379469329,0.1599102536467594,0.6144161190020772,-1.3783209514189467,-1.3572105788403075
2015-01-08,2.11088295687885,0.13395439969782222,0.414928425287508,0.7481964303596279,0.283255445882622,0.1444650328248701,0.6132000285797641,-1.4149337116401126,-1.364456251208237
2015-01-09,2.113620807665982,0.16223861432004455,0.41577046991177097,0.694428421069444,0.3166551054757899,0.1544358140630612,0.577811969452527,-1.388989983787594,-1.3718818019210584
2015-01-10,2.116358658453114,0.22531623891077732,0.369952475052584,0.7406546822780451,0.2920956924520738,0.120289657100718,0.6227507411328649,-1.4427032022896578,-1.3805416944590707
2015-01-11,2.1190965092402463,0.23836866077215932,0.40516091062988,0.605606165895364,0.2446453486180529,0.0803171874535368,0.6946866902530022,-1.474844720063846,-1.391880942083746
2015-01-12,2.1218343600273784,0.24646367390363655,0.40968794947676,0.610220413721045,0.2158449649387233,0.0656848120487598,0.7326479589661881,-1.4652007630125832,-1.4015720688999356
2015-01-13,2.1245722108145104,0.9206530681268417,0.44703450893587204,0.648286418146784,0.1748479484947832,0.0453957648599032,0.7876936430014193,-1.633226683458501,-1.4229006402449689
2015-01-14,2.127310061601643,1.9288538961639008,0.418268665603702,0.752538169004042,0.1414430664867229,0.0342409408249574,0.829159136357992,-1.8676082924052555,-1.4631821332673756
2015-01-15,2.130047912388775,2.480462854043876,0.478838233543625,0.7797362493229549,0.1660113799094119,0.0842358110197794,0.7637369122959907,-1.7010614899483194,-1.4903042163218332
2015-01-16,2.132785763175907,2.4800547717442534,0.38034326198954604,0.846423602930903,0.1826196680274898,0.1061746010576004,0.7305953013129999,-1.7068524888667778,-1.518092145849318
2015-01-17,2.135523613963039,2.491170475321699,0.367548056680144,0.8185220152914401,0.1835486009977023,0.1016721265225626,0.7334410490634128,-1.7475201975202337,-1.5407457614818114
2015-01-18,2.138261464750171,2.5470000438808262,0.32589265833399395,0.769408997694218,0.2028436048763363,0.1188180702823453,0.7024398105418391,-1.6908963106491592,-1.555051661736686
2015-01-19,2.1409993155373037,2.524575620350984,0.32589265833399395,0.769408997694218,0.2249059066729648,0.13530815913514,0.6702175384024336,-1.667199022907619,-1.5705029903387278
2015-01-20,2.143737166324436,2.5215744183285747,0.38504516031137603,0.8311022099045171,0.2354999892105146,0.1373448681867208,0.6594998575788568,-1.6813576945780255,-1.5900511080390451
2015-01-21,2.1464750171115674,2.5998384188349406,0.34866937728177294,0.87440023340964,0.2696030136168109,0.1656442603420387,0.6094109178176916,-1.6080035979329876,-1.6064570113614765
2015-01-22,2.1492128678986995,2.619311615687518,0.46413506756495604,0.9811230714153809,0.3094156643164295,0.1911899478744808,0.5585515525412956,-1.5776247378376569,-1.6180777989470154
2015-01-23,2.1519507186858315,2.6106158620762994,0.5590751040402799,1.15678194922022,0.3388721832774678,0.2030401035423526,0.5268923563604597,-1.5777865229469112,-1.6315632660298238
2015-01-24,2.154688569472964,2.691521911790627,0.5590751040402799,1.176470588235294,0.4041356761513569,0.2351712277964385,0.4557341792090629,-1.5136344680751366,-1.6366297850145008
