Date,Difficulty,Difficulty_log_trend,Difficulty_residuals,Difficulty_vol_trend,Difficulty_scaled_residuals,Transaction Count,Transaction Count_log_trend,Transaction Count_residuals,Transaction Count_vol_trend,Transaction Count_scaled_residuals,Active Addresses Count,Active Addresses Count_log_trend,Active Addresses Count_residuals,Active Addresses Count_vol_trend,Active Addresses Count_scaled_residuals,30 Day Active Supply,30 Day Active Supply_log_trend,30 Day Active Supply_residuals,30 Day Active Supply_vol_trend,30 Day Active Supply_scaled_residuals,1 Year Active Supply,1 Year Active Supply_log_trend,1 Year Active Supply_residuals,1 Year Active Supply_vol_trend,1 Year Active Supply_scaled_residuals,CurrentSupply,CurrentSupply_log_trend,CurrentSupply_residuals,CurrentSupply_vol_trend,CurrentSupply_scaled_residuals,LogPriceUSD,LogPriceUSD_log_trend,LogPriceUSD_residuals,LogPriceUSD_vol_trend,LogPriceUSD_scaled_residuals
2015-03-06,24.566675391402686,23.261692610136762,1.3049827812659238,0.07157003665223255,18.233646960487008,11.447437159597042,11.478559239374672,-0.031122079777629708,0.1407578225053795,-0.22110373138544595,12.370849523941587,12.293924342645667,0.07692518129591974,0.1245006408915672,0.6178697615132527,4.021599557876698,4.346616707729058,-0.32501714985235974,0.07585832740785345,-4.284528290544822,5.621757900906019,5.684042251534744,-0.06228435062872517,0.008627208559431599,-7.219525319187224,6.448272381809417,6.427695781557205,0.02057660025221253,0.0011029928420048457,18.655243686633217,5.610636372644243,5.991145165449808,-0.38050879280556504,0.10974470739298592,-3.4672177077569426
2015-03-07,24.566675391402686,23.266676498078866,1.2999988933238207,0.07155119891448347,18.16879259951399,11.420086229866074,11.4794748329032,-0.05938860303712623,0.14075258348433048,-0.42193614899962223,12.448603051444564,12.294933705143677,0.15366934630088736,0.12448908048119645,1.2344002036716664,4.0607365282725905,4.346682462748323,-0.28594593447573224,0.07585245475419418,-3.7697650709177766,5.62223984565869,5.684149772708136,-0.06190992704944609,0.008626744532640734,-7.176511001942796,6.448523929009795,6.427923485133437,0.020600443876357843,0.001102586225949768,18.683748618945984,5.621861238684203,5.993603789267361,-0.37174255058315797,0.10972591083551204,-3.3879194782026456
2015-03-08,24.582469224814485,23.271657824763608,1.310811400050877,0.0715323611767344,18.324732729180663,11.407942655750121,11.48038983992019,-0.07244718417006801,0.14074734446328144,-0.5147321567332891,12.529028952097866,12.295942427472397,0.23308652462546853,0.1244775200708257,1.872519025867852,4.116344027543699,4.3467481746363426,-0.2304041470926439,0.07584658210053491,-3.037765720111717,5.621523699985119,5.684257223377702,-0.0627335233925832,0.008626280505849867,-7.2723722988188,6.448804149945282,6.428151045961277,0.020653103984004773,0.00110217960989469,18.73841958115893,5.617999556977011,5.996061315708374,-0.37806175873136283,0.10970711427803817,-3.4461006582783256
2015-03-09,24.582469224814485,23.276636592822157,1.3058326319923275,0.07151352343898532,18.259939787562725,11.57863829633557,11.481304261176573,0.09733403515899575,0.1407421054422324,0.6915772281021226,12.470784153066013,12.296950510443342,0.17383364262267165,0.12446595966045496,1.3966360207794364,4.188717598613485,4.346813843449663,-0.15809624483617846,0.07584070944687564,-2.0845828841688325,5.621455212917766,5.68436460363584,-0.06290939071807422,0.008625816479059002,-7.293152001413443,6.449062745735294,6.428378464219588,0.020684281515706004,0.0011017729938396122,18.773632709604303,5.670329301856813,5.998517745752004,-0.32818844389519075,0.10968831772056428,-2.992009091900424
2015-03-10,24.582469224814485,23.281612804881576,1.3008564199329093,0.07149468570123624,18.195148452976778,11.53260063316345,11.482218097421846,0.05038253574160301,0.14073686642118335,0.35799102980467923,12.39971735280531,12.297957954866488,0.10175939793882094,0.1244543992500842,0.8176440411265904,4.2237258484756595,4.34687946924472,-0.12315362076906045,0.07583483679321637,-1.6239715937527655,5.627641235261889,5.684471913574773,-0.056830678312884686,0.008625352452268137,-6.588794907498579,6.449335635442321,6.428605740086903,0.020729895355417582,0.0011013663777845344,18.82197947345826,5.67785040321071,6.000973080376113,-0.32312267716540255,0.10966952116309041,-2.946330700987417
2015-03-11,24.582469224814485,23.286586463564944,1.2958827612495405,0.07147584796348716,18.130358689994576,11.545441056646908,11.483131349404067,0.06230970724284113,0.14073162740013434,0.4427555368608041,12.468275358487384,12.29896476155027,0.16931059693711425,0.12444283883971345,1.3605491365814306,4.240602796961554,4.346945052077835,-0.10634225511628159,0.0758289641395571,-1.4023962521836277,5.62562418787417,5.6845791532865375,-0.05895496541236778,0.008624888425477272,-6.835446733226049,6.44961203987927,6.428832873741419,0.020779166137851135,0.0011009597617294567,18.873683544264974,5.692699044197953,6.003427320557243,-0.31072827635929023,0.10965072460561653,-2.833800483096617
2015-03-12,24.582469224814485,23.291557571491253,1.2909116533232314,0.07145701022573808,18.0655704632078,11.445513486070972,11.48404401786985,-0.03853053179887844,0.1407263883790853,-0.2737974891751349,12.379130593956424,12.299970931301589,0.07915966265483476,0.1244312784293427,0.636171737958836,4.345806741432291,4.3470105920052236,-0.0012038505729323745,0.07582309148589783,-0.01587709692839781,5.6250826868377235,5.684686322862991,-0.05960363602526719,0.008624424398686405,-6.9110277126836985,6.44984710301301,6.429059865360995,0.020787237652014845,0.0011005531456743788,18.887990765114015,5.6896847160217465,6.005880467270636,-0.3161957512488893,0.10963192804814266,-2.8841575340172647
2015-03-13,24.582469224814485,23.296526131275513,1.2859430935389717,0.07143817248798899,18.00078373722647,11.483290659840538,11.484956103564397,-0.0016654437238585729,0.14072114935803626,-0.011835063396342728,12.403824539979485,12.300976464925817,0.102848075053668,0.12441971801897195,0.8266219912022736,4.3515766073450415,4.347076089082988,0.0045005182620538875,0.07581721883223856,0.05936010752402069,5.623487032575451,5.684793422395812,-0.06130638982036096,0.00862396037189554,-7.108844101388868,6.450109016682013,6.429286715123162,0.020822301558851564,0.0011001465296193009,18.926843832391125,5.655680665567472,6.008332521490232,-0.35265185592276005,0.10961313149066877,-3.217240955777099
2015-03-14,24.582469224814485,23.301492145528684,1.280977079285801,0.07141933475023991,17.935998476679988,11.420919819174204,11.485867607231468,-0.06494778805726398,0.14071591033698722,-0.46155255579647436,12.473895064059787,12.3019813632268,0.17191370083298807,0.1244081576086012,1.3818523169022678,4.335581208798581,4.347141543367121,-0.011560334568539332,0.07581134617857929,-0.15248818483328472,5.62249213664049,5.684900451976498,-0.06240831533600755,0.008623496345104675,-7.237008382503119,6.450343963037575,6.429513423205114,0.020830539832461525,0.0010997399135642232,18.941332923845955,5.647594082852669,6.010783484188664,-0.36318940133599487,0.1095943349331949,-3.3139432029710587
2015-03-15,24.582469224814485,23.306455616857704,1.2760136079567808,0.07140049701249084,17.87121464621674,11.329723520748967,11.486778529613405,-0.1570550088644378,0.14071067131593817,-1.116155636211852,12.447366479378372,12.302985627006855,0.14438085237151732,0.12439659719823046,1.160649532409968,4.332106588385301,4.3472069549135055,-0.015100366528204567,0.07580547352492002,-0.1991988945658459,5.6222088047524235,5.685007411696367,-0.0627986069439439,0.008623032318313809,-7.282659350652168,6.450600368184567,6.429739989783714,0.020860378400852753,0.0010993332975091454,18.975481274075765,5.6604230344523145,6.013233356337281,-0.3528103218849665,0.10957553837572102,-3.21979090511263
